Permit Number,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Name,Unit,Description,Current Status,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Estimated Cost,Revised Cost,Existing Use,Existing Units,Supervisor District,Proposed Use,Proposed Units,Plansets,Zipcode
M530587,otc alterations permit,10/24/2014,0959,017,2775,Vallejo,,street space permit,issued,,,,,1.0,,,2.0,,,,94123.0
201603232853,additions alterations or repairs,03/23/2016,7220,006,2968,19th,,horizontal addition at 2nd floor to extend bedroom (to 109 sqft addition). switch location of (e) bedroom & office.,filed,Y,3.0,3.0,40000.0,,1 family dwelling,1.0,7.0,1 family dwelling,1.0,2.0,94132.0
201606089354,otc alterations permit,06/08/2016,0603,036,2121,Jackson,2.0,reroofing.,issued,,3.0,3.0,17750.0,17750.0,2 family dwelling,2.0,2.0,2 family dwelling,2.0,0.0,94115.0
201408133771,otc alterations permit,08/13/2014,5339,012,1665,Quesada,,"to comply with nov. #200921913 to remove chain link fence with plywood panel attached over 3' (+/-8'-o"" high), which was constructed w/o permit.",complete,,0.0,0.0,2500.0,2500.0,vacant lot,0.0,10.0,vacant lot,0.0,0.0,94124.0
201611283589,otc alterations permit,11/28/2016,0998,001,3201,Washington,,"apt 7: add new wiring & subpanel. remodel kitchen & bathroom in same layout. no reloation of walls moved, removed, added or infilled. all (e) layouts unchanged.",complete,,3.0,3.0,1500.0,29722.0,apartments,17.0,2.0,apartments,17.0,0.0,94115.0
M413307,otc alterations permit,08/01/2013,1237,010,922,Haight,,"add new address to block 1237, lot 010 as; 922a haight st.",issued,,,,,267.24,,,5.0,,,,94117.0
201712075788,demolitions,12/07/2017,2799,042,49,Hopkins,,"demolition of a two-story- no basement, single family dwelling",filed,,2.0,,15000.0,,1 family dwelling,1.0,8.0,,,2.0,94131.0
201410169091,otc alterations permit,10/16/2014,1523,032,460,22nd,0.0,revision to pa# 201406259446. soft story seismic retrofit of multi unit apartment building per san francisco soft story ordinance chapter 34b iebc 2012.,complete,,4.0,4.0,1.0,1.0,apartments,6.0,1.0,apartments,6.0,2.0,94121.0
201402219041,additions alterations or repairs,02/21/2014,3705,042,865,Market,,"house of hoops/footlocker: ti of existing retail space in sf centre mall. combine 2 units, remove demising wall. new finishes, fooring, electrical, shelving under separate permit. compliance with ordinance #155-13 not required.",complete,,8.0,8.0,100000.0,725000.0,retail sales,0.0,6.0,retail sales,0.0,2.0,94103.0
201408284928,otc alterations permit,08/28/2014,3641,077,1269,South Van Ness,0.0,"unit a: replace kitchen cabinets & countertop, upgrade receptacles to gfi.",complete,,2.0,2.0,5000.0,5000.0,2 family dwelling,2.0,9.0,2 family dwelling,2.0,0.0,94110.0
201308154362,otc alterations permit,08/15/2013,3780,006,888,Brannan,,install of 34 evacuation maps from 1-5 floors.,issued,,6.0,6.0,6000.0,6000.0,office,0.0,6.0,office,0.0,2.0,94103.0
201607223145,otc alterations permit,07/22/2016,5871,030,282,Trumbull,,"kitchen remodel - no wallls moved, removed, added or infilled. all (e) layout to remain unchanged.",expired,,1.0,1.0,20000.0,20000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,0.0,94112.0
201501064993,otc alterations permit,01/06/2015,4272,033,3027,25th,,to obtain final inspection for work approved under app#200707257755. all work is complete.,complete,,3.0,3.0,1.0,1.0,2 family dwelling,2.0,9.0,2 family dwelling,2.0,0.0,94110.0
201704063407,additions alterations or repairs,04/06/2017,5297,027,1103,Phelps,,add 4 new residential units at ground floor to (e) 5 units house per plan. enclose new bedrooms beneath (e) rooms at ground floor.,filed,,3.0,3.0,100000.0,,apartments,6.0,10.0,apartments,10.0,2.0,94124.0
201706209881,otc alterations permit,06/20/2017,1530,011A,469,14th,,install flashing and siding. repair in-kind of dry-rotted fence gate in kind visible from street.,complete,,4.0,4.0,2000.0,2000.0,apartments,3.0,1.0,apartments,3.0,0.0,94118.0
M627367,otc alterations permit,10/06/2015,1389,017,286,30th,,street space,issued,,,,,0.0,,,2.0,,,,94121.0
M800847,otc alterations permit,06/22/2017,3544,067,2075,Market,,street space,issued,,,,,1.0,,,8.0,,,,94114.0
201312093660,otc alterations permit,12/09/2013,1269,109,191,Downey,,to obtain final inspectionf or work approved under pa 200709102189; all work is complete,complete,,4.0,4.0,1.0,1.0,apartments,4.0,5.0,apartments,4.0,0.0,94117.0
201609097340,otc alterations permit,09/09/2016,0918,002C,2300,North Point,,soft story retrofit per sfbc chapter 34b engineering criteria. 2012 iebc appendix a-4,complete,,4.0,4.0,100000.0,160000.0,apartments,18.0,2.0,apartments,18.0,2.0,94123.0
201409095807,additions alterations or repairs,09/09/2014,3561,074,2295,15th,,temporary shoring for the benefit of improvements at 2289 15th st (permit 2014-09-09-5806),approved,,2.0,2.0,12000.0,70000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
M860747,otc alterations permit,11/30/2017,3736,006,1,Tehama,,"per pa #201507272516, add address to block 3736, lot 006 as; 1 tehama street",issued,,,,,243.66,,,6.0,,,,94105.0
201306200071,otc alterations permit,06/20/2013,5956,039,119,Madrid,,"replace roof, siding and install new garage door , replace rotted framing in kind at garage.",complete,,1.0,1.0,7000.0,7000.0,prkng garage/private,1.0,11.0,prkng garage/private,1.0,0.0,94112.0
201305156940,otc alterations permit,05/15/2013,5959,026,171,Vienna,,re-roofing,complete,,2.0,2.0,8700.0,8700.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,0.0,94112.0
201412163806,new construction wood frame,12/16/2014,4591D,131,1,Earl,,"bldg 3: construct new 3 stories, no basement, 11 units residential over garage.** maher: compliance with ordinance no# 155-13 not required **",issued,,,3.0,5000000.0,5000000.0,,,10.0,apartments,11.0,2.0,94124.0
201606018843,otc alterations permit,06/01/2016,6515,009,370,Bartlett,,develop level one storage into bedroom suite including bath and laundry.maher na,filed,,3.0,3.0,25000.0,45000.0,apartments,4.0,9.0,apartments,4.0,2.0,94110.0
M714629,otc alterations permit,08/18/2016,3643,062,241,Bartlett,0.0,street space,issued,,,,,1.0,,,9.0,,,,94110.0
201406128205,otc alterations permit,06/12/2014,4098,038,1700,22nd,,reroofing  (n/a maher ordinance # 155-13),issued,,2.0,2.0,24000.0,24000.0,2 family dwelling,2.0,10.0,2 family dwelling,2.0,0.0,94107.0
201612074394,additions alterations or repairs,12/07/2016,3763,015B,450,Bryant,,"change of use from type ""e"" educational to type ""b"" business. bike parking and shower  are required as part of this permit.** maher: n/a **",complete,,3.0,3.0,1.0,14400.0,school,0.0,6.0,office,0.0,2.0,94107.0
201612074362,otc alterations permit,12/07/2016,0237,016,353,Sacramento,,"22nd floor: t.i.  includes demo of nonstructural partitions and building. new nonstructural partitions. mep, life safety and sprinklers under seperate permit. bldg fully sprinklered. n/a for maher",complete,,23.0,23.0,650000.0,650000.0,office,0.0,3.0,office,0.0,2.0,94111.0
201504163842,otc alterations permit,04/16/2015,6656,065,42,Chenery,,"remodel 2 master baths, 1 at 3rd level, 1 at 4th lvel, install pull ou pantry cabinet under stair adjacent to kitchen. remove and replace existig deck railings at all exterior decks with new glass and metal support rails to match existing. no envelope change. no added heated space",complete,,4.0,4.0,80000.0,80000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94131.0
M760967,otc alterations permit,02/13/2017,0119,009,1701,Mason,,street space permit  - renewal of permit # 201702088904,issued,,,,,1.0,,,3.0,,,,94133.0
M693027,otc alterations permit,05/20/2016,0971,001,7,Laurel,,street space permit,issued,,,,,1.0,,,2.0,,,,94118.0
201312063555,otc alterations permit,12/06/2013,3719,429,301,Mission,1001.0,add (2) two light fixtures and switches to living room walls (treanch and patch drywall for wiring).  add built-in desk in office area.,complete,,58.0,58.0,10000.0,10000.0,apartments,420.0,6.0,apartments,420.0,0.0,94105.0
201301319240,otc alterations permit,01/31/2013,0240,016,550,Kearny,,"ground floor -install 2 duct detectors, 1 control relay, 2 speaker/strobes, replace 2 strobes with speaker/strobe, relocate 1 pull station.",complete,,11.0,11.0,3500.0,3500.0,office,0.0,3.0,office,0.0,2.0,94104.0
M713547,otc alterations permit,08/15/2016,0548,001,2265,Larkin,0.0,street space,issued,,,,,1.0,,,3.0,,,,94109.0
M840767,otc alterations permit,10/06/2017,3638,084,1189,South Van Ness,0.0,street space,issued,,,,,1.0,,,9.0,,,,94110.0
201303152337,otc alterations permit,03/15/2013,0417A,003,451,Avila,,reroofing,complete,,3.0,3.0,8200.0,8200.0,1 family dwelling,1.0,2.0,1 family dwelling,1.0,0.0,94123.0
201604265656,otc alterations permit,04/26/2016,0679,025,2345,Bush,,"2nd floor, unit #2: relocate kitchen - infill door opening between bedroom #2 & new greatroom - add closet @ bedroom #2, add laundry closet @ hall. replace window @ fire escape w/door.",complete,,4.0,4.0,32000.0,48400.0,apartments,12.0,2.0,apartments,12.0,2.0,94115.0
201612064276,otc alterations permit,12/06/2016,3747,320,399,Fremont,,"amend application 200605161774 addenda 7 architectural to show destination ""based elevator call system""n/a for maher",complete,,,42.0,1.0,1.0,vacant lot,,6.0,apartments,452.0,2.0,94105.0
201704214533,otc alterations permit,04/21/2017,3710,019,45,Fremont,,8/f- 2 way communication system for t.i. including master station at ground floor fcc room. ref. to t.i. pa#201601157201. n/a ordinance #155-13,issued,,34.0,34.0,20000.0,20000.0,office,0.0,6.0,office,0.0,2.0,94105.0
201309207339,otc alterations permit,09/20/2013,0104,043,145,Varennes,,provide new master bathroom & new laundry for 145 varennes on 2nd floor.,complete,,2.0,2.0,10000.0,16480.0,2 family dwelling,2.0,3.0,2 family dwelling,2.0,2.0,94133.0
201306210166,otc alterations permit,06/21/2013,3740,034,221,Main,,"7th floor suite 780 - install 4 ceiling mount speaker strobes & 1 ceiling mount speaker, ref pa #2013.05.13.6752",complete,,16.0,16.0,2000.0,2000.0,office,0.0,6.0,office,0.0,2.0,94105.0
201502188581,otc alterations permit,02/18/2015,7331,158,122,Summit,,"construction of sprinkler system. ref master building type a bpa#201209119408, amended by bpa #201401317498 & #201407100857.  building plot plan bpa#201405155791. master file sprinkler bpa #201501216261. as builts may be required per fire inspector.",issued,,,3.0,1.0,1.0,vacant lot,0.0,7.0,2 family dwelling,1.0,0.0,94132.0
201311222628,otc alterations permit,11/22/2013,2411,001,401,Taraval,,revision to appl #2011.0922.5285 & 2013.03.06.1654 - relocating gas meter from exit enclosure to the front of building within a 1-hour enclosure,complete,,2.0,2.0,5000.0,5000.0,office,0.0,7.0,church,0.0,2.0,94116.0
201411262569,otc alterations permit,11/26/2014,0164,031,50,Osgood,,revision to pa# 201411070983 roof consisted metal deck with lighweight concrete fill instead of bare metal deck with insulation during field investigation. revise details and support of the cooling tower for concrete fill. n/a ordinance #155-13,complete,,5.0,5.0,1.0,1.0,office,0.0,3.0,office,0.0,2.0,94133.0
201707121728,otc alterations permit,07/12/2017,2852,002,288,Glenview,,replace six rear windows; no other work.,issued,,2.0,2.0,12000.0,12000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94131.0
201309237426,otc alterations permit,09/23/2013,5718,019,143,Park,,to obtain final inspectionf or work approved under pa 200608280707; all work is complete,complete,,2.0,2.0,1.0,1.0,1 family dwelling,1.0,9.0,1 family dwelling,1.0,0.0,94110.0
201709279761,otc alterations permit,09/27/2017,1839,001A,1407,14th,,dryrot repair on the front of the property. refinish with the in kind stucco. less than 50% repair from front wall.,complete,,2.0,2.0,4000.0,4000.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94122.0
201406300048,otc alterations permit,06/30/2014,3626,017B,470,Alvarado,,"horizontal addition to the side and rear deck on 3rd floor and roof deck per plan shown. remove bay windows on second floor and third floor at the rear per plan. raised the front door overhead opening per plan and elevation. remodel stairways, bathrooms, kitchen, add new skylight per plan.",issued,Y,2.0,2.0,130000.0,300000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
201403059912,otc alterations permit,03/05/2014,1053,016,2592,Sutter,,"1)revision to approved application #201303081867 to reconfigure extg kitchens and bath rooms at 2nd floor per plan. 2)install 2 new furances and water heaters, washer and  dryer at ground floor. 3)repair extg baywindow structure per plan.",issued,,2.0,2.0,5000.0,20000.0,2 family dwelling,2.0,2.0,2 family dwelling,2.0,2.0,94115.0
201510068915,otc alterations permit,10/06/2015,0441B,019,230,Avila,,install new residential fire sprinklers per nfpa 13r. 39 heads. t.i. 201206011662. n/a for maher,expired,,3.0,3.0,16000.0,20171.97,1 family dwelling,1.0,2.0,1 family dwelling,1.0,2.0,94123.0
201705166675,otc alterations permit,05/16/2017,6984,028,1030,Capitol,,"comply with complaint 201447002, remove 2 existing 7x7 and 9x7 sheds in rear yard, remaining shed is no taller than 8ft",complete,,3.0,3.0,1000.0,1000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,2.0,94112.0
201711174229,otc alterations permit,11/17/2017,0108,007,1160,Battery,,1/f - modify 259 sprinkler heads for new office layout; as built to ref 2017 0804 3883. n/a ordinance #155-13,complete,,4.0,4.0,24700.0,1.0,office,0.0,3.0,office,0.0,2.0,94111.0
M461267,otc alterations permit,02/04/2014,3781,001A,1045,Bryant,,street space and mta parking,issued,,,,,1.0,,,6.0,,,,94103.0
M401127,otc alterations permit,06/12/2013,3513,165,95,Mccoppin,0.0,street space,issued,,,,,1.0,,,6.0,,,,94103.0
201312305265,otc alterations permit,12/30/2013,0239,029,400,California,0.0,"3rd floor: fire sprinkler system t.i.  extg. relocated 4 sprinklers, removed one sprinkler and added one sprinkler.",issued,,20.0,20.0,3000.0,3000.0,food/beverage hndlng,0.0,3.0,food/beverage hndlng,0.0,2.0,94104.0
201704113647,otc alterations permit,04/11/2017,1075,001,2492,Post,,b-3 - revision to pa #201511051902: lounge space is converted to maintenance room & addition of unisex toilet to maintenance room @ b-3 (rad) basement. add exterior door & exhaust louver for bathroom.,filed,,3.0,3.0,75000.0,75000.0,apartments,25.0,5.0,apartments,25.0,2.0,94115.0
201801259477,otc alterations permit,01/25/2018,5662,017,745,Cortland,,"replace approximately 700 sq. ft. of t-1-11 siding w/fiber cement siding, one side of building, not visible from street",complete,,2.0,2.0,10000.0,10000.0,food/beverage hndlng,1.0,9.0,food/beverage hndlng,1.0,0.0,94110.0
201308063621,otc alterations permit,08/06/2013,6516,005B,2846,Mission,,"install new stainless wall flashing, replace tile flooring with new quarry tile, work required by health department in order to continue operating",complete,,1.0,1.0,15000.0,20000.0,food/beverage hndlng,0.0,9.0,food/beverage hndlng,0.0,0.0,94110.0
201410279963,otc alterations permit,10/27/2014,3705,049,845,Market,,sapce #337:  add & relocate sprinkler heads for tenant improvement (62) sprinkler heads total (ref. 201409045448); maher n/a,complete,,8.0,8.0,13000.0,13000.0,retail sales,0.0,6.0,retail sales,0.0,2.0,94103.0
201507131357,otc alterations permit,07/13/2015,3549,030,383,South Van Ness,,"unit 2 of front building: remodel kitchen & bathroom, remove/replace plaster as needed.  n/a maher ord. 155-13",complete,,2.0,2.0,15000.0,15000.0,apartments,3.0,9.0,apartments,3.0,0.0,94103.0
M556227,otc alterations permit,02/03/2015,7245,007,141,Inverness,,street space,issued,,,,,1.0,,,7.0,,,,94132.0
201305146871,additions alterations or repairs,05/14/2013,0088,029,533,Greenwich,,"work in progress, revision to app #201303192513 reduce lightwell on the west wall to match adjacent building",complete,,4.0,4.0,10000.0,10000.0,apartments,3.0,3.0,apartments,3.0,2.0,94133.0
201307182119,otc alterations permit,07/18/2013,2386,015,2479,39th,,tear down illegal kitchen on ground floor.,expired,,2.0,2.0,3000.0,3000.0,1 family dwelling,1.0,4.0,1 family dwelling,1.0,2.0,94116.0
201606149849,otc alterations permit,06/14/2016,6240,001,301,Arleta,,window replacement (existing) of nine windows like for like.  visible to the street - 9 windows.  u-factor 0.32 max.  aluminum framing,issued,,2.0,2.0,2800.0,4000.0,1 family dwelling,1.0,10.0,1 family dwelling,1.0,0.0,94134.0
201503130787,otc alterations permit,03/13/2015,3729,083,1285,Howard,,"work with #1283 (2nd & 3rd flr). remodel kitchen & bath within both apts. construct new master bath, & install new furnace, tankless w/h @ both apts. remove selected walls & replac ewith headers per struct plan. replace single pane windows at front ( match style + material). n/a maher ordinan",complete,,3.0,3.0,180000.0,180000.0,2 family dwelling,2.0,6.0,2 family dwelling,2.0,2.0,94103.0
201512013862,otc alterations permit,12/01/2015,1613,005C,737,31st,,"remodel (e) kitchen and two bathrooms on 3rd floor at 737 31st ave. remodel (e) two bathrooms at 2nd fl at 735 31st ave. repair sheet rocks (gyp bd) for water damage, repair dry rot @ rear stair less than 50%.",complete,,3.0,3.0,20000.0,25000.0,2 family dwelling,2.0,1.0,2 family dwelling,2.0,0.0,94121.0
201503312393,otc alterations permit,03/31/2015,7062,006,2616,San Jose,,comply with complaint # 201533521. replace (e) skylight and reroof around skylight where leakage occurs.,complete,,2.0,2.0,1800.0,5000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,0.0,94112.0
201509237814,otc alterations permit,09/23/2015,1810,043,3815,Judah,,reroofing,issued,,2.0,2.0,6500.0,6500.0,2 family dwelling,2.0,4.0,2 family dwelling,2.0,0.0,94122.0
M617547,otc alterations permit,08/25/2015,2776,004,10,Hoffman,,street space,issued,,,,,0.0,,,8.0,,,,94114.0
201302220814,sign - erect,02/22/2013,1094,001,2675,Geary,,#300- install 2 individual letter sets in alcove 3'6x 47'5 sign type e.,complete,,3.0,,8000.0,8000.0,retail sales,0.0,2.0,,,2.0,94115.0
201512306183,otc alterations permit,12/30/2015,2823A,004,62,Cityview,,to obtain a final inspection for work approved under pa#201301047288.,issued,,2.0,2.0,1.0,1.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94131.0
201308093986,otc alterations permit,08/09/2013,0310,001,101,Post,,"inter connecting stair between 2 & 3 floors. 2nd floor t.i. conference and break room build out. new lighting and electrical. demo restroom finishes,  partial removal of slab above to 3rd floor for new stair. construct non-structural partitions, doors. mep",complete,,3.0,3.0,500000.0,520000.0,office,,3.0,office,,2.0,94108.0
201611173022,otc alterations permit,11/17/2016,0279,005,1000,Sutter,,"install new toilet, sink, walk in shower to replace existing. replace 1 gi outlet and 1 switch. 1 moisture activated exhaust fan. room 306, no extra plumbing",issued,,10.0,10.0,10000.0,10000.0,residential hotel,232.0,3.0,residential hotel,232.0,0.0,94109.0
M401170,otc alterations permit,06/12/2013,1427,014,506,Clement,,street space,issued,,,,,1.0,,,1.0,,,,94118.0
201710030278,otc alterations permit,10/03/2017,1466,028,466,35th,,partial repair guardrail in-kind with pt wood or similiar material. max 50% replacment or less.,complete,,2.0,2.0,3000.0,3000.0,2 family dwelling,2.0,1.0,2 family dwelling,2.0,0.0,94121.0
201703080943,otc alterations permit,03/08/2017,1718,028,1270,33rd,,"remodel kitchen and back sunroom. finish garage area - create media room, dry rot repair where needed",complete,,3.0,3.0,80000.0,110000.0,1 family dwelling,1.0,4.0,1 family dwelling,1.0,2.0,94122.0
M534467,otc alterations permit,11/05/2014,6638,005,1798,Church,,street space,issued,,,,,1.0,,,8.0,,,,94131.0
201404153277,otc alterations permit,04/15/2014,1259,028,5,Alpine,,revision to app#201403100292 to comply with extg field conditions.,issued,,3.0,3.0,1000.0,2500.0,apartments,3.0,8.0,apartments,3.0,2.0,94117.0
201708094307,otc alterations permit,08/09/2017,0315,001,323,Geary,,basement - replace (5) existing smoke detectors with (5) heat detectors as shown on plans.,complete,,8.0,8.0,3000.0,3050.0,retail sales,0.0,3.0,retail sales,0.0,2.0,94102.0
201412304733,otc alterations permit,12/30/2014,0443A,025,1727,Beach,,"revision to 201408214421. to correct zoning, number of units and stories incorrectly stated on previous plans; maher n/a",complete,,3.0,3.0,1.0,1.0,2 family dwelling,2.0,2.0,2 family dwelling,2.0,2.0,94123.0
201609167996,otc alterations permit,09/16/2016,1593,022,669,47th,,"kitchen remodel like for like, cabinets, plumbing fixtures & recessed lights,50% wattage min., no change in walls & openings layout,",reinstated,,3.0,3.0,1500.0,15000.0,apartments,4.0,1.0,apartments,4.0,0.0,94121.0
201606301307,otc alterations permit,06/30/2016,1233,006,133,Central,,revision to ref pa 201603152060: structural details,complete,,4.0,4.0,1.0,1.0,apartments,6.0,5.0,apartments,6.0,2.0,94117.0
201705126482,otc alterations permit,05/12/2017,0289,004,1,Sansome,,3rd flr: (e) fire sprinklers.  relocate 5.ti 201512104709.  maher na,issued,,42.0,42.0,1250.0,2000.0,office,,3.0,office,,2.0,94104.0
M593907,otc alterations permit,06/08/2015,0803,022,720,Steiner,,street space,issued,,,,,1.0,,,5.0,,,,94117.0
201503302204,additions alterations or repairs,03/30/2015,4700,043,1056,Griffith,,"bldg 14. mohcd rad program: exterior rehab-roof, windows, paint. interior, rehab: hvac, elect, plumb, fire sprinkler, fixtures and finishes. address consist: 1046, 1048, 1050, 1052, 1054 &1056 griffith street for bldg 14.",issued,,2.0,2.0,1140000.0,1140000.0,apartments,6.0,10.0,apartments,6.0,2.0,94124.0
201501135631,otc alterations permit,01/13/2015,3704,035,440,Jessie,,t.i. remodel entry lobby for ada compliance. remodel exit for accoustic control.maher n/a.,issued,,2.0,2.0,10000.0,10000.0,club,0.0,6.0,club,0.0,2.0,94103.0
201304265571,additions alterations or repairs,04/26/2013,1127,064,1816,Eddy,,"install new fire sprinkler  & standpipe system per nfpa 13 & 14 into the bldg with new 4"" fire service off of eddy",complete,,0.0,5.0,95000.0,140000.0,vacant lot,0.0,5.0,apartments,19.0,2.0,94115.0
M834167,otc alterations permit,09/22/2017,1537,034,442,08th,,street space,issued,,,,,1.0,,,1.0,,,,94118.0
201402047798,additions alterations or repairs,02/04/2014,0322A,198,631,Ofarrell,,"fire alarm system ""one for one"" replacement project per csfm code interpretation 12-001. will include: 1 facu, 1 annunciator, 1 amp cabinet, 24 - 10"" bells, 3 relay modules, 22 monitor modules, 54 pull staions, 43 s/detectors(compliance with ord. no155-13 not required",issued,,20.0,20.0,40000.0,65000.0,apartments,186.0,6.0,apartments,186.0,2.0,94109.0
201410229628,additions alterations or repairs,10/22/2014,3594,023,837,South Van Ness,,revision to pa# 2014/09/12/6185. (n) elevator and stair dormer at 4th floor.,complete,Y,4.0,4.0,15000.0,30000.0,1 family dwelling,1.0,9.0,1 family dwelling,1.0,2.0,94110.0
M668988,otc alterations permit,03/03/2016,3637,027,2641,Mission,,street space w/mta,issued,,,,,1.0,,,9.0,,,,94110.0
201711093682,otc alterations permit,11/09/2017,2914,037,65,Idora,,to obtain final inspection for work approved under pa #201401095952. all work is complete. (to comply with nov 201341921),issued,,2.0,2.0,1.0,1.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94127.0
201511031574,additions alterations or repairs,11/03/2015,4700,039,42,Northridge,,"rad priority. exterior rehab: roof, windows, paint. interior rehab: hvac, electrical plumbing, fire sprinklers, cabinets, fixtures & finishes.",issued,,2.0,2.0,2000000.0,2000000.0,apartments,8.0,10.0,apartments,8.0,3.0,94124.0
201710191710,otc alterations permit,10/19/2017,6655,042,65,Whitney,,"to comply w/complaint #201706351 - move non-load bearing walls, remove & replace windows & french door not street visible, minor electrical, minor plumbing, nre roof framing.",issued,,2.0,2.0,60000.0,60000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94131.0
201303283327,otc alterations permit,03/28/2013,0065,048,990,Columbus,,"tenant improvement office ""discover health"" consists of (n) interior partitions, (n) t8 light fixtures to replace (e) t-10 lighting, (n) sink & faucet & demo of (e) vestigal stair.",complete,,3.0,3.0,120000.0,210000.0,office,0.0,3.0,office,0.0,2.0,94133.0
M744353,otc alterations permit,12/07/2016,4624,052,847,Fairfax,,"to establish new addresses at block 4624, lot 051 as; 108,110,112,114,116 catalina street",issued,,,,,1024.86,,,10.0,,,,94124.0
M630269,otc alterations permit,10/16/2015,0228,038,475,Sansome,,street space,issued,,,,,0.0,,,3.0,,,,94111.0
201708084181,otc alterations permit,08/08/2017,1586,001,601,43rd,,"dry rot repair to front stairs. all repair work in kind, no other work",complete,,2.0,2.0,7000.0,7000.0,1 family dwelling,1.0,1.0,1 family dwelling,1.0,0.0,94121.0
201610069646,otc alterations permit,10/06/2016,0263,011,101,California,,"30th flr: arch ref 201608195564: suite 3025 fire sprinkler ti relocate 3, add 1  maher na",complete,,48.0,48.0,2100.0,2100.0,office,,3.0,office,,2.0,94111.0
201706058434,otc alterations permit,06/05/2017,6735,015,52,Martha,,middle level full bathroom remodel.,complete,,3.0,3.0,25000.0,25000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94131.0
201503272101,otc alterations permit,03/27/2015,5517,100,97,Mirabel,,to comply with physical inspection report #cc-7758,complete,,4.0,4.0,2000.0,2000.0,2 family dwelling,2.0,9.0,2 family dwelling,2.0,0.0,94110.0
201706098936,otc alterations permit,06/09/2017,3211,011,359,Delano,,reroofing,complete,,2.0,2.0,15000.0,15000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,0.0,94112.0
